,Longitude,Latitude,CEC [cmol/kg]
652,-2.5833,37.4506,23.9
653,-3.7334,37.1673,32.7
654,-3.55,37.2506,3.2
655,-3.55,37.2673,1.3
656,-3.5167,37.2673,44.6
657,-4.1001,37.3173,4.5
658,-3.1833,37.3172,38.1
659,-3.0667,37.3173,36.3
660,-3.1833,37.2673,11.7
661,-2.8833,37.2506,3.5
662,-3.1167,37.2339,3.9
663,-3.0167,37.1839,24.7
664,-4.0834,37.1673,12.4
665,-2.8167,37.3339,15.4
666,-4.0834,37.0506,32.4
667,-4.0334,37.0839,30.5
668,-4.0334,37.0173,23.8
669,-3.9167,37.084,33.3
670,-3.4834,37.0506,24.9
671,-3.4667,37.1006,13.5
672,-3.3834,37.1006,19.5
673,-3.25,37.1506,15.0
674,-3.2833,37.0173,36.2
675,-3.0833,37.0173,7.2
676,-3.0667,37.1506,5.4
677,-3.8,36.9839,20.8
678,-3.3,36.9006,9.0
679,-3.2833,36.9839,28.2
680,-3.0833,36.9506,9.7
681,-3.15,36.8673,7.7
682,-3.05,36.8839,9.1
683,-3.5167,36.7839,9.0
684,-3.6,36.7839,4.1
685,-3.55,36.7673,9.1
686,-3.3653,36.7806,4.9
687,-3.3686,36.7609,8.1
688,-3.3661,36.7417,7.9
689,-2.575,37.634,19.1
690,-2.55,37.6339,13.7
691,-2.55,37.6339,44.4
692,-2.5499,37.6339,28.7
693,-2.5847,37.6423,34.4
694,-3.7166,37.1006,16.0
695,-3.2833,41.084,3.3
696,-3.2333,41.0507,7.4
697,-2.3666,41.034,15.2
698,-3.2722,40.8618,25.6
699,-3.1333,40.9007,22.0
700,-3.1,40.9507,22.0
701,-2.8667,40.8507,6.0
702,-2.7167,40.884,32.3
703,-3.4278,40.709,17.8
704,-3.1167,40.7674,22.8
705,-3.0833,40.7674,17.5
706,-2.9833,40.784,13.6
707,-2.9667,40.7674,33.5
708,-2.6667,40.8007,24.2
709,-1.6999,40.7507,12.3
710,-1.6499,40.8007,23.5
711,-1.5499,40.784,10.3
712,-3.3167,40.6007,8.5
713,-3.1708,40.5326,25.8
714,-3.2458,40.9146,20.5
715,-3.15,40.734,16.0
716,-3.3167,40.6007,9.0
717,-3.2917,41.059,25.8
718,-3.1,40.934,20.3
719,-1.5833,40.7757,6.0
720,-2.95,40.9507,16.6
721,-3.4167,40.7049,7.0
722,-2.8667,40.7674,29.2
723,-3.1667,40.5674,31.3
724,-3.0667,40.9924,20.0
725,-1.8333,43.3675,28.5
726,-1.7833,43.0341,15.1
727,-2.4166,43.2174,18.4
728,-2.35,43.2841,6.3
729,-2.2677,43.2107,24.8
730,-2.2002,43.3008,20.4
731,-2.15,43.2341,28.0
732,-2.0833,43.2841,21.0
733,-2.0999,43.2841,42.0
734,-2.0666,43.3008,28.0
735,-1.8994,43.2445,20.0
736,-1.7833,43.2841,17.2
737,-2.5333,43.0008,42.7
