,Longitude,Latitude,Ca [mg/kg]
729,-0.4832,38.7673,2780.0
730,0.0502,38.7006,3400.0
731,-0.8166,38.184,280.0
732,-0.7999,38.2006,360.0
733,-0.7666,38.2006,500.0
734,-0.5987,38.1923,420.0
735,-0.6332,38.184,320.0
736,-0.9499,38.1173,960.0
737,-0.9666,38.0173,680.0
738,-0.8832,38.0173,1840.0
739,-0.8166,37.884,60.0
740,-2.2333,37.8173,2320.0
741,-2.2833,37.7006,7040.0
742,-2.0666,37.734,2960.0
743,-2.3,37.6006,3080.0
744,-2.1333,37.5506,1480.0
745,-2.5166,37.3506,1900.0
746,-2.4166,37.4173,980.0
747,-2.35,37.4673,5260.0
748,-2.2333,37.4339,940.0
749,-2.1387,37.3839,1740.0
750,-2.0833,37.4839,900.0
751,-1.8999,37.5006,2280.0
752,-2.0625,36.8006,3160.0
753,-2.8167,37.1673,1100.0
754,-2.5666,37.3339,700.0
755,-2.5833,37.2339,1220.0
756,-2.5166,37.2006,960.0
757,-2.45,37.3006,1180.0
758,-2.3,37.2006,1620.0
759,-2.2,37.1839,1640.0
760,-1.8333,37.2339,1200.0
761,-2.9167,37.0839,1000.0
762,-2.9,37.0173,2140.0
763,-2.7667,37.1173,1840.0
764,-2.7333,37.0006,1240.0
765,-2.5666,37.0339,2420.0
766,-2.35,37.0839,240.0
767,-2.25,37.1506,460.0
768,-2.2333,37.0839,460.0
769,-2.1333,37.1506,840.0
770,-1.8833,37.0506,2280.0
771,-1.8499,37.1673,3520.0
772,-2.9833,36.9006,940.0
773,-2.9167,36.9673,780.0
774,-2.8833,37.0006,1600.0
775,-2.8833,36.8673,3800.0
776,-2.7667,36.9839,2140.0
777,-2.7667,36.8839,940.0
778,-2.7167,36.8339,1220.0
779,-2.5166,36.8839,900.0
780,-2.4833,36.9506,580.0
781,-2.3333,37.0006,1340.0
782,-2.2166,36.9173,900.0
783,-2.15,36.8673,760.0
784,-2.0833,36.8506,2620.0
785,-1.9666,37.0006,1180.0
786,-2.0333,36.8839,1980.0
787,-3.1167,36.7673,920.0
788,-2.95,36.7506,20.0
789,-2.9333,36.8173,2460.0
790,-2.7333,36.7673,3120.0
791,-2.6833,36.7173,1760.0
792,-2.6333,36.7506,1440.0
793,-2.25,36.8339,1020.0
794,-2.2,36.7673,1800.0
795,-2.2333,36.7839,4440.0
796,-2.0666,36.8173,4640.0
797,-6.9836,43.5175,60.0
798,-5.7668,43.5675,2500.0
799,-6.9169,43.3841,460.0
800,-6.8502,43.4508,100.0
801,-6.5002,43.4175,380.0
802,-6.2669,43.4508,380.0
803,-5.8835,43.4175,500.0
