,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Fecha,FechaAntes,FechaDespues,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
25,32722080,40.0,17.0,43.0,7.5,8.0,14.48,33.8,164,7.6,1.0,243.7,41.038302082,-2.484773051,2015-07-22,2015-07-05,2015-08-08,1565,1726,2100,2898,3116,3389,3757,3736,4148,1495,18,4426,2844,0.12631896291829967
26,32421728,30.0,31.0,39.0,7.4,7.93,18.43,12.4,603,47.1,1.2,156.5,37.852690909,-2.228633609,2015-08-03,2015-07-17,2015-08-20,1986,2272,2909,3985,4371,4748,5131,5217,5512,1821,20,5435,3540,0.1338839382742882
27,32341732,13.0,47.0,40.0,7.4,7.83,20.4,36.7,592,15.3,2.8,121.3,37.876862157,-2.32458574,2015-08-03,2015-07-17,2015-08-20,1622,1485,1543,1818,1926,2210,2412,2374,2667,818,20,3296,2311,0.13263358778625955
28,32001654,14.0,50.0,37.0,7.5,7.85,23.1,14.9,26,8.9,1.8,240.2,37.129104122,-2.575787236,2015-06-27,2015-06-10,2015-07-14,2118,1918,1874,2116,2218,2409,2499,2361,2566,1176,279,2185,1773,0.05472414563323654
29,31921632,35.0,19.0,47.0,7.5,7.88,14.25,44.5,27,5.0,2.9,356.6,36.920345144,-2.628363654,2015-06-19,2015-06-02,2015-07-06,3621,3397,3172,3304,3397,3569,3669,3611,3757,2737,1279,1862,1761,0.04439624005784527
30,32041688,13.0,55.0,32.0,7.7,8.23,15.9,7.7,151,11.5,0.8,60.8,37.439195716,-2.587049516,2015-07-05,2015-06-18,2015-07-22,2023,1853,2014,2571,2915,3265,3441,3093,3660,1363,19,3929,3237,0.09216101694915255
31,31861634,34.0,17.0,49.0,7.2,7.56,13.39,40.8,1,8.4,3.6,459.0,36.929282171,-2.697802832,2015-06-19,2015-06-02,2015-07-06,1717,1392,1231,1208,1297,1455,1559,1482,1623,951,258,1212,985,0.10185873605947955
32,32701756,49.0,15.0,36.0,7.6,8.17,14.14,7.9,683,4.8,0.7,108.5,38.143255542,-1.959693989,2015-08-11,2015-07-25,2015-08-28,1944,2454,2922,3612,3652,4256,4553,4508,4812,1292,17,5407,4142,0.1103448275862069
33,32541752,40.0,13.0,47.0,7.2,7.3,62.9,41.4,56,7.4,4.6,737.9,38.08467112,-2.1329250330000002,2015-08-11,2015-07-25,2015-08-28,1345,1500,1606,1802,1748,2285,2571,2603,2832,923,15,3172,2375,0.18183881952326902
34,32081660,6.0,55.0,39.0,6.2,6.53,5.54,14.1,0,5.2,1.1,20.0,37.194627106999995,-2.4969867040000002,2015-06-30,2015-06-13,2015-07-17,1456,1336,1305,1407,1599,1886,2069,2044,2215,844,16,2040,1427,0.1845841784989858
35,32581742,41.0,15.0,44.0,7.6,8.1,25.6,28.1,400,16.4,1.6,453.5,38.000930673,-2.072006869,2015-08-08,2015-07-22,2015-08-25,1643,1622,1807,2392,2467,2781,3054,3113,3440,1119,21,4561,3618,0.13097184377838328
36,32481738,33.0,33.0,34.0,7.7,8.1,17.52,10.1,409,10.0,0.8,203.8,37.950807294,-2.177620575,2015-08-08,2015-07-22,2015-08-25,1601,1659,1940,2760,2933,3172,3450,3375,3768,1157,18,4383,3321,0.10024449877750612
37,32341746,13.0,55.0,32.0,7.3,7.73,30.9,14.4,465,5.8,1.2,139.6,38.002061385,-2.34743645,2015-08-08,2015-07-22,2015-08-25,1721,1622,1744,2225,2513,2929,3245,3262,3611,1311,20,4379,3281,0.18899216329506105
