,Longitude,Latitude,K [mg/kg]
803,-5.3668,39.584,235.0
804,-1.0999,42.7841,133.0
805,-4.1501,40.734,92.0
806,-1.7666,41.3507,387.0
807,-4.1501,40.8007,53.0
808,-1.9659,40.0961,234.0
809,-5.2001,40.634,25.0
810,-4.5001,41.1174,55.0
811,-2.4838,40.1001,429.0
812,-4.4834,40.3507,271.0
813,-5.0668,40.2174,252.0
814,-3.0333,40.5674,208.0
815,-5.7668,40.034,23.0
816,-3.1833,41.0674,168.0
817,-4.0667,40.9174,65.0
818,-0.8207,38.4762,117.0
819,-6.8836,43.5008,45.0
820,-0.7499,38.5173,79.0
821,-2.3138,40.6668,146.0
822,-4.5667,41.5481,121.0
823,-3.9334,41.2507,33.0
824,-5.0001,40.284,110.0
825,-2.7417,41.9174,89.0
826,-0.6715,38.5193,84.0
827,-3.9334,41.0007,149.0
828,-5.5001,41.517,70.0
