,Longitude,Latitude,P [mg/kg]
655,-1.7092,40.5884,2.7
656,-3.1528,40.8648,4.1
657,-3.4,41.0674,1.4
658,-2.1689,40.9001,11.5
659,-3.4,40.8507,9.1
660,-3.1,41.1924,7.8
661,-2.95,40.9757,3.4
662,-3.1654,40.5516,6.8
663,-3.1182,40.5967,1.0
664,-3.0472,40.4527,4.3
665,-2.9051,40.849,5.6
666,-3.35,41.0341,10.4
667,-2.9644,40.8492,1.0
668,-1.9361,40.6174,8.9
669,-2.975,42.0007,1.3
670,-5.0668,40.3007,349.9
671,-4.5834,40.2174,4.0
672,-5.1207,40.1426,1.3
673,-2.4688,40.5145,1.0
674,-2.0299,40.6648,1.0
675,-1.9113,40.6818,4.6
676,-2.0986,40.8365,5.5
677,-1.9861,40.7731,11.0
678,-2.0045,40.7817,6.0
679,-3.2167,41.2674,9.5
680,-3.3361,40.834,2.8
681,-2.1166,40.734,4.0
682,-6.2335,42.2674,5.4
683,-6.2335,42.5577,0.5
684,-6.2835,42.9174,2.8
685,-5.5335,42.9508,12.5
686,-6.8336,42.7174,12.6
687,-3.6195,41.0924,6.6
688,-3.5789,40.8814,5.9
689,-4.2001,40.484,9.8
690,-3.8334,40.6174,1.1
691,-3.6,40.8674,10.4
692,-3.55,41.0674,2.6
693,-3.9334,40.5507,5.4
694,-4.1028,40.734,6.0
695,-3.45,41.084,4.5
696,-4.0334,40.7257,0.8
697,-4.3751,40.3674,3.8
698,-3.5292,41.0146,7.1
699,-3.575,41.1243,2.3
700,-4.2334,40.491,15.0
701,-3.9834,40.3674,1.3
702,-0.1415,40.6896,5.0
703,-0.2193,40.5535,23.0
704,-0.2415,40.5701,5.0
705,-0.2276,40.5396,5.0
706,-0.3443,40.3229,11.0
707,-0.3582,40.259,17.0
708,-2.5166,38.3423,89.0
709,-2.5833,38.3784,14.0
710,-2.5166,38.309,14.0
711,-2.5305,38.2729,13.0
712,-2.6139,38.2562,11.0
713,-2.5861,38.2534,11.0
714,-2.5972,38.2423,17.0
715,-2.6,38.2284,73.0
716,-2.6305,38.2284,69.0
717,-2.7528,38.0895,77.0
718,-2.9528,37.9701,75.0
719,-2.9167,37.9395,71.0
720,-2.8028,37.9201,88.0
721,-2.8361,37.8228,79.0
722,-2.975,37.8562,85.0
723,-2.9778,37.8395,87.0
724,-3.0056,37.7562,64.0
725,-2.9861,37.7117,78.0
726,-2.55,37.9228,27.0
727,-2.4944,37.9756,23.0
728,-2.4389,38.0562,4.0
729,-5.9002,38.734,15.6
730,-4.8334,39.2173,1.0
731,-5.9502,38.7507,3.2
732,-5.9418,38.7423,6.4
733,-4.8584,39.234,1.2
734,-6.8835,38.4506,5.1
735,-2.9756,36.8034,4.5
736,-2.5806,37.2759,7.0
737,-2.5814,37.2726,7.0
738,-2.5797,37.2657,8.0
739,-2.5811,37.2521,13.0
740,-2.5811,37.2634,18.0
741,-2.5825,37.2543,3.0
742,-2.5819,37.2682,8.0
